member_id,hotel_id,rating,recommend_list
BD140084F7ECD3FC293E888ECB7DE217,Traders_Hotel_Singapore,5,5:Value;5:Location;5:Sleep Quality;5:Rooms;5:Cleanliness;5:Service
BD140084F7ECD3FC293E888ECB7DE217,PARKROYAL_on_Kitchener_Road,5,5:Value;5:Location;5:Sleep Quality;5:Rooms;5:Cleanliness;5:Service
0051648FC0754F9E7117225BAF68773D,Premier_Inn_London_Southwark_Borough_Market,5,5:Value;5:Location;5:Sleep Quality;5:Rooms;5:Cleanliness;5:Service
14F9DD9816194FF75FDC26CC2B4D08D5,W_Hong_Kong,5,4:Value;4:Location;5:Sleep Quality;5:Rooms;5:Cleanliness;5:Service
BF16241AA20DB4E9A6673F95285B1728,Hilton_London_Metropole,5,4:Value;4:Location;4:Sleep Quality;4:Rooms;5:Cleanliness;5:Service
8DCF9BE7F5EAB3DE26B896DB3702D796,Crowne_Plaza_Chicago_Magnificent_Mile,4,4:Value;4:Location;4:Sleep Quality;4:Rooms;4:Cleanliness;4:Service
CB1E783A113D4A05709F3464ACCF9151,Club_Quarters_World_Trade_Center,4,5:Value;4:Location;5:Sleep Quality;4:Rooms;5:Cleanliness;4:Service
FE1D836F1D36BAC74A16741C3AB728A9,DoubleTree_by_Hilton_London_West_End,4,5:Value;5:Location;5:Sleep Quality;5:Rooms;5:Cleanliness;5:Service
C53B04A2355FF8E9C255A1DE6A3C7095,Holiday_Inn_Express_New_York_City_Wall_Street,4,4:Value;3:Location;4:Sleep Quality;4:Rooms;4:Cleanliness;4:Service
CE4D5692C73F6A8A9FE6A35BB6EB8B61,The_Pierre_A_Taj_Hotel_New_York,2,1:Value;5:Location;4:Sleep Quality;1:Rooms;4:Cleanliness;2:Service
4A9308F9733C5E331D2F42594AC39ADD,Eliza_Lodge,5,5.0:Value;5.0:Location;5.0:Sleep Quality;5.0:Rooms;5.0:Cleanliness;5.0:Service
AA541A5ADA7264BD5202B54E5EDC0B78,BEST_WESTERN_PLUS_Hospitality_House,4,5:Value;5:Location;4:Sleep Quality;5:Rooms;4:Cleanliness;5:Service
0C4003C56FB165C95C6D77C1D329A5B4,London_Town_Hotel,3,3.0:Value;4.0:Location;2.0:Sleep Quality;2.0:Rooms;3.0:Cleanliness;3.0:Service
C84894E471FDE0CBD0B3CBF0584D5DDB,Hotel_Innotel,3,3.0:Value;3.0:Location;3.0:Sleep Quality;5.0:Rooms;1.0:Cleanliness;4.0:Service
8DCF9BE7F5EAB3DE26B896DB3702D796,Sheraton_Hong_Kong_Hotel_Towers,4,4:Value;5:Location;4:Sleep Quality;3:Rooms;4:Cleanliness;4:Service
68FD2C53EA4DCA6B36448AA0B472DD7F,Royal_Plaza_on_Scotts,4,5:Value;4:Location;4:Sleep Quality;4:Rooms;4:Cleanliness;5:Service
D22F2E946E8BC62816B5ADE744C8A14D,London_Marriott_West_India_Quay,3,2:Value;4:Location;3:Sleep Quality;4:Rooms;4:Cleanliness;1:Service
E7F67EA04453E829FBE059568D1CE98D,Fragrance_Hotel_Bugis,4,5.0:Value;5.0:Location;4.0:Sleep Quality;4.0:Rooms;5.0:Cleanliness;5.0:Service
